time,valence,arousal,videoID,start_time,end_time,P_id,probe
1753961514074.0,5.0,5.0,8.0,1753961514074.0,1753961519074.0,9,0
1753961514074.0,5.0,5.0,8.0,1753961514074.0,1753961519074.0,9,0
1753961526622.3635,4.926363636363638,4.1036363636363635,8.0,1753961524076.0,1753961529076.0,9,0
1753961532438.5833,4.933333333333334,4.8,8.0,1753961529077.0,1753961534077.0,9,0
1753961536218.0,4.47,7.0,8.0,1753961534078.0,1753961539078.0,9,0
1753961536218.0,4.47,7.0,8.0,1753961534078.0,1753961539078.0,9,0
1753961546534.1,5.9715,6.7995,8.0,1753961544080.0,1753961549080.0,9,0
1753961552700.1428,4.771428571428571,5.492857142857143,8.0,1753961549081.0,1753961554081.0,9,0
1753961556446.0,4.47,5.27,8.0,1753961554082.0,1753961559082.0,9,0
1753961556446.0,4.47,5.27,8.0,1753961554082.0,1753961559082.0,9,0
1753961566977.0,5.0,5.27,8.0,1753961564084.0,1753961569084.0,9,0
1753961571206.0,5.0,5.533333333333334,8.0,1753961569085.0,1753961574085.0,9,0
1753961571206.0,5.0,5.533333333333334,8.0,1753961569085.0,1753961574085.0,9,0
1753961571206.0,5.0,5.533333333333334,8.0,1753961569085.0,1753961574085.0,9,0
1753961585897.6,5.0,5.0,8.0,1753961584088.0,1753961589088.0,9,0
1753961591139.0,5.0,4.335,8.0,1753961589089.0,1753961594089.0,9,0
1753961597587.111,4.760000000000001,4.614444444444445,8.0,1753961594090.0,1753961599090.0,9,0
1753961600812.3,4.308000000000001,6.412999999999999,8.0,1753961599091.0,1753961604091.0,9,0
1753961600812.3,4.308000000000001,6.412999999999999,8.0,1753961599091.0,1753961604091.0,9,0
1753961600812.3,4.308000000000001,6.412999999999999,8.0,1753961599091.0,1753961604091.0,9,0
1753961618807.0,4.2,6.87,8.0,1753961614094.0,1753961619094.0,9,0
1753961621147.1052,3.512105263157895,8.450526315789473,8.0,1753961619095.0,1753961624095.0,9,0
1753961624807.6667,2.33,8.466666666666667,8.0,1753961624096.0,1753961629096.0,9,0
1753961633217.75,1.9349999999999998,8.467500000000001,8.0,1753961629097.0,1753961634097.0,9,0
1753961637122.6667,1.9799999999999998,8.91,8.0,1753961634098.0,1753961639098.0,9,0
1753961637122.6667,1.9799999999999998,8.91,8.0,1753961634098.0,1753961639098.0,9,0
1753961647726.0,2.07,8.0675,8.0,1753961644100.0,1753961649100.0,9,0
1753961651410.3333,3.2449999999999997,7.691666666666666,8.0,1753961649101.0,1753961654101.0,9,0
1753961651410.3333,3.2449999999999997,7.691666666666666,8.0,1753961649101.0,1753961654101.0,9,0
